x,I
0.6113803631432503,27688.334
0.6126358238676409,27685.506
0.6138912845920316,27681.234
0.6151467453164223,27672.578
0.616402206040813,27666.93
0.6176576667652036,27636.918
0.6189131274895943,27634.229
0.6201685882139849,27647.127
0.6214240489383756,27631.95
0.6226795096627662,27619.955
0.6239349703871568,27598.67
0.6251904311115476,27580.312
0.6264458918359382,27568.557
0.6277013525603289,27576.488
0.6289568132847195,27572.17
0.6302122740091102,27573.463
0.6314677347335009,27548.434
0.6327231954578916,27550.936
0.6339786561822822,27564.207
0.6352341169066729,27561.16
0.6364895776310635,27558.594
0.6377450383554542,27570.934
0.6390004990798448,27566.46
0.6402559598042354,27556.02
0.6415114205286261,27557.043
0.6427668812530167,27555.076
0.6440223419774074,27537.803
0.645277802701798,27546.928
0.6465332634261887,27564.395
0.6477887241505794,27561.428
0.6490441848749701,27547.273
0.6502996455993607,27532.729
0.6515551063237514,27530.637
0.652810567048142,27533.145
0.6540660277725326,27521.018
0.6553214884969233,27523.63
0.6565769492213139,27512.602
0.6578324099457046,27527.996
0.6590878706700953,27590.93
0.660343331394486,27631.418
0.6615987921188766,27651.203
0.6628542528432674,27684.68
0.664109713567658,27678.18
0.6653651742920487,27676.19
0.6666206350164393,27680.264
0.66787609574083,27662.127
0.6691315564652206,27639.514
0.6703870171896112,27638.99
0.6716424779140019,27624.553
0.6728979386383925,27615.58
0.6741533993627832,27623.709
0.6754088600871739,27616.58
0.6766643208115646,27605.018
0.6779197815359552,27624.348
0.6791752422603459,27599.236
0.6804307029847365,27591.787
0.6816861637091272,27606.434
0.6829416244335178,27606.578
0.6841970851579084,27599.145
0.6854525458822991,27593.07
0.6867080066066897,27566.846
0.6879634673310804,27570.09
0.689218928055471,27570.984
0.6904743887798617,27568.283
0.6917298495042524,27575.738
0.6929853102286431,27585.695
0.6942407709530337,27557.088
0.6954962316774244,27569.38
0.6967516924018151,27568.076
0.6980071531262058,27558.014
0.6992626138505964,27567.11
0.700518074574987,27570.53
0.7017735352993777,27545.662
0.7030289960237683,27542.799
0.704284456748159,27547.438
0.7055399174725496,27533.496
0.7067953781969403,27520.85
0.708050838921331,27528.35
0.7093062996457217,27493.275
0.7105617603701123,27508.178
0.711817221094503,27490.432
0.7130726818188937,27487.885
0.7143281425432844,27491.73
0.715583603267675,27503.736
0.7168390639920657,27468.203
0.7180945247164563,27471.547
0.7193499854408469,27477.197
0.7206054461652376,27471.916
0.7218609068896282,27470.232
0.7231163676140189,27474.793
0.7243718283384095,27452.371
0.7256272890628002,27462.531
0.7268827497871908,27469.578
0.7281382105115815,27462.863
0.7293936712359722,27457.775
0.7306491319603629,27431.79
0.7319045926847535,27411.604
0.7331600534091441,27376.197
0.7344155141335348,27338.945
0.7356709748579254,27308.209
0.7369264355823161,27286.049
0.7381818963067067,27261.514
0.7394373570310974,27265.049
0.740692817755488,27267.336
0.7419482784798788,27281.22
0.7432037392042694,27296.285
0.74445919992866,27321.955
0.7457146606530508,27360.588
0.7469701213774415,27377.822
0.7482255821018321,27405.135
0.7494810428262227,27398.053
0.7507365035506134,27416.885
0.751991964275004,27425.168
0.7532474249993947,27452.982
0.7545028857237853,27477.135
0.755758346448176,27493.27
0.7570138071725666,27479.525
0.7582692678969574,27470.398
0.759524728621348,27473.967
0.7607801893457387,27501.78
0.7620356500701293,27510.404
0.76329111079452,27505.918
0.7645465715189106,27490.896
0.7658020322433012,27486.176
0.7670574929676919,27494.9
0.7683129536920825,27499.584
0.7695684144164732,27500.201
0.7708238751408638,27505.69
0.7720793358652545,27483.227
0.7733347965896451,27466.09
0.7745902573140359,27455.045
0.7758457180384265,27449.367
0.7771011787628171,27435.346
0.7783566394872079,27435.805
0.7796121002115985,27438.488
0.7808675609359892,27457.643
0.7821230216603798,27482.348
0.7833784823847705,27496.379
0.7846339431091611,27512.014
0.7858894038335518,27514.916
0.7871448645579424,27500.234
0.7884003252823331,27498.22
0.7896557860067237,27495.062
0.7909112467311145,27487.629
0.7921667074555051,27482.922
0.7934221681798957,27499.797
0.7946776289042865,27492.701
0.7959330896286771,27492.467
0.7971885503530678,27500.65
0.7984440110774584,27499.643
0.7996994718018491,27518.701
